user_id,birthdate,gender,city
abc83f92-1111-1111-1111-a44e13e59424,1990-08-15 09:15:41,,
234a4125-1111-1111-1111-99a3937a1ecc,1989-02-28 03:30:46,,
1ddccacc-1111-1111-1111-de05fd293612,1972-06-03 01:14:44,,
d0c9873b-1111-1111-1111-202a40bcac0d,1969-06-30 19:09:37,,
22c5d2c9-1111-1111-1111-5cb484bdc869,1983-05-01 18:07:15,,
d0af84b7-1111-1111-1111-19a2b9a95e67,1983-01-08 13:13:29,,
d5c6b542-1111-1111-1111-45f90fd37717,1974-12-06 12:52:32,,
fb579f9c-1111-1111-1111-e56ab9a8916c,1998-01-16 09:21:22,,
64ff408f-1111-1111-1111-429c96133822,1982-01-09 03:13:37,,
efef8259-1111-1111-1111-53087efbea97,1974-06-05 17:25:19,,
d896b8a7-1111-1111-1111-d9bdfb006249,1961-10-08 10:01:45,,
8d4d0515-1111-1111-1111-66803cf684b2,1976-05-03 13:59:51,,
001a3153-1111-1111-1111-9bac5d74e813,1974-08-03 20:54:18,,
e04ae19e-1111-1111-1111-fde3bb20277d,1968-05-12 23:36:09,,
1353830d-1111-1111-1111-60f8f0ac5e37,1981-04-19 19:41:47,,
6ae0f213-1111-1111-1111-c7c66b137843,1981-08-08 21:47:52,,
9e42a468-1111-1111-1111-f0f7d5a9ad7f,1980-10-25 19:56:53,,
e7c4c52c-1111-1111-1111-1caf465c7dcd,1988-09-12 00:13:40,,
c4b35218-1111-1111-1111-0152eeb2c45f,1984-03-14 01:52:32,,
46c1ded5-1111-1111-1111-30545baf6cea,1992-07-21 06:52:19,,
c554e743-1111-1111-1111-1a67694a0246,1971-08-23 22:03:56,,
50730844-1111-1111-1111-f9f7d01298c8,1969-03-02 06:06:52,,
8db9046d-1111-1111-1111-a090108b3300,1999-01-19 04:16:44,,
26c7beb0-1111-1111-1111-f99c5018af8c,1982-06-02 11:01:19,,
d33f1952-1111-1111-1111-5c437cc70988,1968-09-24 14:38:36,,
ee601a9a-1111-1111-1111-00f9daa056f8,1980-06-20 04:02:35,,
3c0a2e88-1111-1111-1111-5b2e2dff033f,1975-07-10 11:56:28,,
e2a08dad-1111-1111-1111-3568e8c5a9da,1969-09-30 09:20:05,,
7ab326e6-1111-1111-1111-aa19aec7fda2,1972-02-07 21:52:08,,
872fc072-1111-1111-1111-2197f057f4db,1983-06-03 08:01:41,,
ee3f3e04-1111-1111-1111-9df1dc995efe,1969-03-13 15:16:32,,
42d9aee6-1111-1111-1111-b2e4ece4b4e9,1977-06-08 05:54:41,,
3d218944-1111-1111-1111-dd528ade495c,1965-04-06 03:59:04,,
1db0267e-1111-1111-1111-aec0e972e209,1986-08-11 01:47:42,,
09888bbe-1111-1111-1111-72021168cc9e,1981-09-14 20:31:03,,
73bcd265-1111-1111-1111-7ab39d284960,1989-09-02 10:48:19,,
d83cbded-1111-1111-1111-8d3c1b54109c,1963-01-05 02:26:23,,
52c8c241-1111-1111-1111-22292588a79c,1966-09-11 13:47:22,,
6802017a-1111-1111-1111-cfa5ccc1341c,1982-09-14 18:48:47,,
5a748f24-1111-1111-1111-540deb6a5938,1969-11-15 03:52:48,,
